patch_embed1.proj.0.weight	torch.Size([32, 3, 3, 3])
patch_embed1.proj.0.bias	torch.Size([32])
patch_embed1.proj.1.weight	torch.Size([32])
patch_embed1.proj.1.bias	torch.Size([32])
patch_embed1.proj.1.running_mean	torch.Size([32])
patch_embed1.proj.1.running_var	torch.Size([32])
patch_embed1.proj.1.num_batches_tracked	torch.Size([])
patch_embed1.proj.3.weight	torch.Size([64, 32, 3, 3])
patch_embed1.proj.3.bias	torch.Size([64])
patch_embed1.proj.4.weight	torch.Size([64])
patch_embed1.proj.4.bias	torch.Size([64])
patch_embed1.proj.4.running_mean	torch.Size([64])
patch_embed1.proj.4.running_var	torch.Size([64])
patch_embed1.proj.4.num_batches_tracked	torch.Size([])
block1.0.layer_scale_1	torch.Size([64])
block1.0.layer_scale_2	torch.Size([64])
block1.0.norm1.weight	torch.Size([64])
block1.0.norm1.bias	torch.Size([64])
block1.0.norm1.running_mean	torch.Size([64])
block1.0.norm1.running_var	torch.Size([64])
block1.0.norm1.num_batches_tracked	torch.Size([])
block1.0.attn.proj_1.weight	torch.Size([64, 64, 1, 1])
block1.0.attn.proj_1.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv0.weight	torch.Size([64, 1, 5, 5])
block1.0.attn.spatial_gating_unit.conv0.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv0_1.weight	torch.Size([64, 1, 1, 7])
block1.0.attn.spatial_gating_unit.conv0_1.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv0_2.weight	torch.Size([64, 1, 7, 1])
block1.0.attn.spatial_gating_unit.conv0_2.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv1_1.weight	torch.Size([64, 1, 1, 11])
block1.0.attn.spatial_gating_unit.conv1_1.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv1_2.weight	torch.Size([64, 1, 11, 1])
block1.0.attn.spatial_gating_unit.conv1_2.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv2_1.weight	torch.Size([64, 1, 1, 21])
block1.0.attn.spatial_gating_unit.conv2_1.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv2_2.weight	torch.Size([64, 1, 21, 1])
block1.0.attn.spatial_gating_unit.conv2_2.bias	torch.Size([64])
block1.0.attn.spatial_gating_unit.conv3.weight	torch.Size([64, 64, 1, 1])
block1.0.attn.spatial_gating_unit.conv3.bias	torch.Size([64])
block1.0.attn.proj_2.weight	torch.Size([64, 64, 1, 1])
block1.0.attn.proj_2.bias	torch.Size([64])
block1.0.norm2.weight	torch.Size([64])
block1.0.norm2.bias	torch.Size([64])
block1.0.norm2.running_mean	torch.Size([64])
block1.0.norm2.running_var	torch.Size([64])
block1.0.norm2.num_batches_tracked	torch.Size([])
block1.0.mlp.fc1.weight	torch.Size([512, 64, 1, 1])
block1.0.mlp.fc1.bias	torch.Size([512])
block1.0.mlp.dwconv.weight	torch.Size([512, 1, 3, 3])
block1.0.mlp.dwconv.bias	torch.Size([512])
block1.0.mlp.fc2.weight	torch.Size([64, 512, 1, 1])
block1.0.mlp.fc2.bias	torch.Size([64])
block1.1.layer_scale_1	torch.Size([64])
block1.1.layer_scale_2	torch.Size([64])
block1.1.norm1.weight	torch.Size([64])
block1.1.norm1.bias	torch.Size([64])
block1.1.norm1.running_mean	torch.Size([64])
block1.1.norm1.running_var	torch.Size([64])
block1.1.norm1.num_batches_tracked	torch.Size([])
block1.1.attn.proj_1.weight	torch.Size([64, 64, 1, 1])
block1.1.attn.proj_1.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv0.weight	torch.Size([64, 1, 5, 5])
block1.1.attn.spatial_gating_unit.conv0.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv0_1.weight	torch.Size([64, 1, 1, 7])
block1.1.attn.spatial_gating_unit.conv0_1.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv0_2.weight	torch.Size([64, 1, 7, 1])
block1.1.attn.spatial_gating_unit.conv0_2.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv1_1.weight	torch.Size([64, 1, 1, 11])
block1.1.attn.spatial_gating_unit.conv1_1.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv1_2.weight	torch.Size([64, 1, 11, 1])
block1.1.attn.spatial_gating_unit.conv1_2.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv2_1.weight	torch.Size([64, 1, 1, 21])
block1.1.attn.spatial_gating_unit.conv2_1.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv2_2.weight	torch.Size([64, 1, 21, 1])
block1.1.attn.spatial_gating_unit.conv2_2.bias	torch.Size([64])
block1.1.attn.spatial_gating_unit.conv3.weight	torch.Size([64, 64, 1, 1])
block1.1.attn.spatial_gating_unit.conv3.bias	torch.Size([64])
block1.1.attn.proj_2.weight	torch.Size([64, 64, 1, 1])
block1.1.attn.proj_2.bias	torch.Size([64])
block1.1.norm2.weight	torch.Size([64])
block1.1.norm2.bias	torch.Size([64])
