backbone.patch_embed.conv1.weight	torch.Size([160, 3, 3, 3])
backbone.patch_embed.conv1.bias	torch.Size([160])
backbone.patch_embed.norm1.1.weight	torch.Size([160])
backbone.patch_embed.norm1.1.bias	torch.Size([160])
backbone.patch_embed.conv2.weight	torch.Size([320, 160, 3, 3])
backbone.patch_embed.conv2.bias	torch.Size([320])
backbone.patch_embed.norm2.1.weight	torch.Size([320])
backbone.patch_embed.norm2.1.bias	torch.Size([320])
backbone.levels.0.blocks.0.norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.0.norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.0.dcn.offset.bias	torch.Size([180])
backbone.levels.0.blocks.0.dcn.center_feature_scale_proj_weight	torch.Size([10, 320])
backbone.levels.0.blocks.0.dcn.center_feature_scale_proj_bias	torch.Size([10])
backbone.levels.0.blocks.0.dcn.dw_conv.0.weight	torch.Size([320, 1, 5, 5])
backbone.levels.0.blocks.0.dcn.dw_conv.0.bias	torch.Size([320])
backbone.levels.0.blocks.0.dcn.dw_conv.1.1.weight	torch.Size([320])
backbone.levels.0.blocks.0.dcn.dw_conv.1.1.bias	torch.Size([320])
backbone.levels.0.blocks.0.dcn.offset.weight	torch.Size([180, 320])
backbone.levels.0.blocks.0.dcn.mask.weight	torch.Size([90, 320])
backbone.levels.0.blocks.0.dcn.mask.bias	torch.Size([90])
backbone.levels.0.blocks.0.dcn.input_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.0.dcn.input_proj.bias	torch.Size([320])
backbone.levels.0.blocks.0.dcn.output_proj.weight	torch.Size([320, 320])
backbone.levels.0.blocks.0.dcn.output_proj.bias	torch.Size([320])
backbone.levels.0.blocks.0.norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.0.norm2.0.bias	torch.Size([320])
backbone.levels.0.blocks.0.mlp.fc1.weight	torch.Size([1280, 320])
backbone.levels.0.blocks.0.mlp.fc1.bias	torch.Size([1280])
backbone.levels.0.blocks.0.mlp.fc2.weight	torch.Size([320, 1280])
backbone.levels.0.blocks.0.mlp.fc2.bias	torch.Size([320])
backbone.levels.0.blocks.0.res_post_norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.0.res_post_norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.0.res_post_norm2.0.weight	torch.Size([320])
backbone.levels.0.blocks.0.res_post_norm2.0.bias	torch.Size([320])
backbone.levels.0.blocks.1.norm1.0.weight	torch.Size([320])
backbone.levels.0.blocks.1.norm1.0.bias	torch.Size([320])
backbone.levels.0.blocks.1.dcn.offset.bias	torch.Size([180])
backbone.levels.0.blocks.1.dcn.center_feature_scale_proj_weight	torch.Size([10, 320])
backbone.levels.0.blocks.1.dcn.center_feature_scale_proj_bias	torch.Size([10])
backbone.levels.0.blocks.1.dcn.dw_conv.0.weight	torch.Size([320, 1, 5, 5])
backbone.levels.0.blocks.1.dcn.dw_conv.0.bias	torch.Size([320])
backbone.levels.0.blocks.1.dcn.dw_conv.1.1.weight	torch.Size([320])
backbone.levels.0.blocks.1.dcn.dw_conv.1.1.bias	torch.Size([320])
